,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
0,alfa-romero,convertible,88.6,168.8,dohc,four,111,21,13495.0
1,alfa-romero,convertible,88.6,168.8,dohc,four,111,21,16500.0
2,alfa-romero,hatchback,94.5,171.2,ohcv,six,154,19,16500.0
3,audi,sedan,99.8,176.6,ohc,four,102,24,13950.0
4,audi,sedan,99.4,176.6,ohc,five,115,18,17450.0
5,audi,sedan,99.8,177.3,ohc,five,110,19,15250.0
6,audi,wagon,105.8,192.7,ohc,five,110,19,18920.0
7,bmw,sedan,101.2,176.8,ohc,four,101,23,16430.0
8,bmw,sedan,101.2,176.8,ohc,four,101,23,16925.0
9,bmw,sedan,101.2,176.8,ohc,six,121,21,20970.0
10,bmw,sedan,103.5,189.0,ohc,six,182,16,30760.0
11,bmw,sedan,103.5,193.8,ohc,six,182,16,41315.0
12,bmw,sedan,110.0,197.0,ohc,six,182,15,36880.0
13,chevrolet,hatchback,88.4,141.1,l,three,48,47,5151.0
14,chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295.0
15,chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575.0
16,dodge,hatchback,93.7,157.3,ohc,four,68,31,6377.0
17,dodge,hatchback,93.7,157.3,ohc,four,68,31,6229.0
18,honda,wagon,96.5,157.1,ohc,four,76,30,7295.0
19,honda,sedan,96.5,175.4,ohc,four,101,24,12945.0
20,honda,sedan,96.5,169.1,ohc,four,100,25,10345.0
21,isuzu,sedan,94.3,170.7,ohc,four,78,24,6785.0
24,jaguar,sedan,113.0,199.6,dohc,six,176,15,32250.0
25,jaguar,sedan,113.0,199.6,dohc,six,176,15,35550.0
26,jaguar,sedan,102.0,191.7,ohcv,twelve,262,13,36000.0
27,mazda,hatchback,93.1,159.1,ohc,four,68,30,5195.0
28,mazda,hatchback,93.1,159.1,ohc,four,68,31,6095.0
29,mazda,hatchback,93.1,159.1,ohc,four,68,31,6795.0
30,mazda,hatchback,95.3,169.0,rotor,two,101,17,11845.0
31,mazda,sedan,104.9,175.0,ohc,four,72,31,18344.0
32,mercedes-benz,sedan,110.0,190.9,ohc,five,123,22,25552.0
33,mercedes-benz,wagon,110.0,190.9,ohc,five,123,22,28248.0
34,mercedes-benz,sedan,120.9,208.1,ohcv,eight,184,14,40960.0
35,mercedes-benz,hardtop,112.0,199.2,ohcv,eight,184,14,45400.0
36,mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389.0
37,mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189.0
38,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989.0
39,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189.0
40,nissan,sedan,94.5,165.3,ohc,four,55,45,7099.0
41,nissan,sedan,94.5,165.3,ohc,four,69,31,6649.0
42,nissan,sedan,94.5,165.3,ohc,four,69,31,6849.0
43,nissan,wagon,94.5,170.2,ohc,four,69,31,7349.0
44,nissan,sedan,100.4,184.6,ohcv,six,152,19,13499.0
45,porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028.0
46,porsche,convertible,89.5,168.9,ohcf,six,207,17,37028.0
48,toyota,hatchback,95.7,158.7,ohc,four,62,35,5348.0
49,toyota,hatchback,95.7,158.7,ohc,four,62,31,6338.0
50,toyota,hatchback,95.7,158.7,ohc,four,62,31,6488.0
51,toyota,wagon,95.7,169.7,ohc,four,62,31,6918.0
52,toyota,wagon,95.7,169.7,ohc,four,62,27,7898.0
53,toyota,wagon,95.7,169.7,ohc,four,62,27,8778.0
54,toyota,wagon,104.5,187.8,dohc,six,156,19,15750.0
55,volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775.0
56,volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975.0
57,volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995.0
58,volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995.0
59,volvo,sedan,104.3,188.8,ohc,four,114,23,12940.0
60,volvo,wagon,104.3,188.8,ohc,four,114,23,13415.0
